YEAR,M.V.Act Cases,M.V.Act Fine,K.P.Act Cases,K.P.Act Fine,Towing Cases,Towing Charges,K.T.C Act Cases,K.T.C Act Fine,Automation cases,Automation Fine,Total Cases Booked,Total Fine Collected
2011,"31,77,992",453031800,"8,916","8,70,900","1,23,974",25149550,,,"1,64,592",26609275,3475474,505661525
2012,"35,05,344",506146700,"8,847","8,26,800","65,894",13369775,,,"16,24,715",18174654,5204800,538517929
2013,"36,52,285",538585850,"11,434","10,40,500","72,908",14410700,704,"36,650","16,96,185",15735560,5433516,569809260
2014,"45,16,130",629999100,"9,135","8,58,900","84,074",16772875,52,"1,550","28,26,945",11589024,7436336,659221449
2015,"44,56,509",667438140,"2,980","2,72,350","99,236",19254675,"1,894","1,58,170","30,66,052",17314941,7626671,704438276
2016,"42,17,238",616650541,424,"39,700","79,340",30686250,"1,063","87,010","48,82,373",22298025,9180438,669761526
2017,"68,94,931",894016575,371,"32,600","2,70,449",213374200,17,620,"30,27,506",16429002,10193274,1123852997
2018,"51,00,540",696976700,494,"42,400","1,14,402",107158950,88,"4,300","31,74,123",8390700,8389647,812573050
2019,"39,79,303",821939150,997,"87,400","61,788",49169050,,,"39,45,831",20689035,7987919,891884635
2020,"20,98,952",944613890,"1,397","93,370","21,048",14768700,,,"62,84,785",36257050,8406182,995733010
2021,"14,95,031",1302328500,"6,313","3,38,340","45,948",33354235,17,800,"78,10,826",67268900,9358135,1403290775
2022,"8,28,976",1632147570,"2,772",176265,"3,334","22,63,700","10,755","10,755","96,20,595",163075800,10466410,1797674090
2023,"2,51,664",938979400,979,80010,0,0,0,0,8747715,912396475,9000358,1851455885
