_id,Depots,Name,Mobile_Number,E_mail,Coordinates
1,Depot 3,Shanthinagar,7760000000,dm2@mybmtc.com,"12.95533, 77.59399"
2,Depot 4,Jayanagar,7760000000,dm4@mybmtc.com,"12.92472, 77.59255"
3,Depot 6,Indranagar,7760000000,dm6@mybmtc.com,"12.98243, 77.63503"
4,Depot 8,Yeshwanthpura,7760000000,dm8@mybmtc.com,"13.01776, 77.55567"
5,Depot 9,Peenya,7760000000,dm9@mybmtc.com,"13.01985, 77.50041"
6,Depot 10,Hennur,7760000000,dm10@mybmtc.com,"13.02609, 77.6319"
7,Depot 11,Yelahanka,7760000000,dm11@mybmtc.com,"13.10999, 77.57905"
8,Depot 12,Kengeri,7760000000,dm12@mybmtc.com,"12.91343, 77.48755"
9,Depot 13,Katriguppe,7760000000,dm13@mybmtc.com,"12.92437, 77.55408"
10,Depot 14,R.T.Nagar,7760000000,dm14@mybmtc.com,"13.02884, 77.593"
11,Depot 15,Kormangala,7760000000,dm15@mybmtc.com,"12.94109, 77.62417"
12,Depot 16,Deepanjalinagar,7760000000,dm16@mybmtc.com,"12.95113, 77.53744"
13,Depot 17,Chandra layout,7760000000,dm17@mybmtc.com,"12.95924, 77.52677"
14,Depot 18,ITPL,7760000000,dm18@mybmtc.com,"12.97964, 77.72437"
15,Depot 19,Electronic city,7760000000,dm19@mybmtc.com,"12.84717, 77.6724"
16,Depot 20,Bhanshankari,7760000000,dm20@mybmtc.com,"12.92352, 77.55383"
17,Depot 21,Rajarajeshwari nagar,7760000000,dm21@mybmtc.com,"12.90627, 77.51956"
18,Depot 22,Peenya,7760000000,dm22@mybmtc.com,"13.01893, 77.50088"
19,Depot 23,Kalyannagar,7760000000,dm23@mybmtc.com,"13.02662, 77.63821"
20,Depot 24,K.R.Puram,7760000000,dm24@mybmtc.com,"13.00211, 77.68381"
21,Depot 25,H.S.R.Layout,7760000000,dm25@mybmtc.com,"12.91925, 77.64247"
22,Depot 26,Yeshwanthpura,7760000000,dm26@mybmtc.com,"13.01776, 77.55567"
23,Depot 27,Jigani,7760000000,dm27@mybmtc.com,"12.78066, 77.63461"
24,Depot 28,Hebbal,7760000000,dm28@mybmtc.com,"13.04374, 77.5939"
25,Depot 29,K.R.Puram,7760000000,dm29@mybmtc.com,"13.00472, 77.69149"
26,Depot 30,Yelahanka,7760000000,dm30@mybmtc.com,"13.10988, 77.57774"
27,Depot 31,SUMANAHALLI,7760000000,dm31@mybmtc.com,"12.9928, 77.52162"
28,Depot 32,Surya city,7760000000,dm32@mybmtc.com,"12.79261, 77.70396"
29,Depot 33,poornapragna layout,7760000000,dm33@mybmtc.com,"12.90968, 77.53657"
30,Depot 34,kothanur dinne,7760000000,dm34@mybmtc.com,"12.87151, 77.58618"
31,Depot 36,Bidadi,7760000000,dm36@mybmtc.com,"12.76933, 77.41319"
32,Depot 37,Kengeri,7760000000,dm37@mybmtc.com,"12.90387, 77.47379"
33,Depot 38,Chikkanagamangala,7760000000,dm38@mybmtc.com,"12.85, 77.69119"
34,Depot 39,Hoskote,7760000000,dm39@mybmtc.com,"13.06814, 77.78167"
35,Depot 40,Nelamangala,7760000000,dm40@mybmtc.com,"13.07409, 77.44504"
36,Depot 41,Gunjur,7760000000,dm41@mybmtc.com,"12.92165, 77.74361"
37,Depot 43,Shivanpura,7760000000,dm43@mybmtc.com,"13.0679, 77.42657"
38,Depot 44,Anjanapura,7760000000,dm44@mybmtc.com,""
39,Depot 45,M.S.Palya,7760000000,dm45@mybmtc.com,"13.08455, 77.5502"
40,Depot 46,sadenahalli,7760000000,dm46@mybmtc.com,"12.85516, 77.56982"
41,Depot 47,Mandur,7760000000,dm47@mybmtc.com,""
42,Depot 48,Byrathi,7760000000,dm48@mybmtc.com,""
